sample_id value control batch marker type flagged_batch batch_effect cols
PTLG021_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG021 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG021 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 0 Unstim_Control_1 PTLG021 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 0 Unstim_Control_2 PTLG021 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG025 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG025 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 0 Unstim_Control_1 PTLG025 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 0 Unstim_Control_2 PTLG025 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG026 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG026 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 0 Unstim_Control_1 PTLG026 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 0 Unstim_Control_2 PTLG026 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG027 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG027 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 0 Unstim_Control_1 PTLG027 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_2 0 Unstim_Control_2 PTLG027 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG028 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG028 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_1 0 Unstim_Control_1 PTLG028 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_2 0 Unstim_Control_2 PTLG028 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG030 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG030 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_1 0 Unstim_Control_1 PTLG030 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_2 0 Unstim_Control_2 PTLG030 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG031 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG031 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_1 0 Unstim_Control_1 PTLG031 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_2 0 Unstim_Control_2 PTLG031 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG032 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG032 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_1 0 Unstim_Control_1 PTLG032 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_2 0 Unstim_Control_2 PTLG032 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG033 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG033 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_1 0 Unstim_Control_1 PTLG033 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_2 0 Unstim_Control_2 PTLG033 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_1 0 IFNa_LPS_Control_1 PTLG034 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_2 0 IFNa_LPS_Control_2 PTLG034 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_1 0 Unstim_Control_1 PTLG034 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_2 0 Unstim_Control_2 PTLG034 CD235ab_CD61 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_1 0.6541515770444151 IFNa_LPS_Control_1 PTLG021 CD66 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 0.8077107625764183 IFNa_LPS_Control_2 PTLG021 CD66 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 0.6517097429949625 Unstim_Control_1 PTLG021 CD66 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 0.7791126693474714 Unstim_Control_2 PTLG021 CD66 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 0.6170483754035356 IFNa_LPS_Control_1 PTLG025 CD66 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 0.7658079277908221 IFNa_LPS_Control_2 PTLG025 CD66 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 0.6203537613694029 Unstim_Control_1 PTLG025 CD66 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 0.7241905725549657 Unstim_Control_2 PTLG025 CD66 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 0.43169449680725314 IFNa_LPS_Control_1 PTLG026 CD66 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 0.5399925406865792 IFNa_LPS_Control_2 PTLG026 CD66 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 0.39583021533087726 Unstim_Control_1 PTLG026 CD66 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 0.4764135612425856 Unstim_Control_2 PTLG026 CD66 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 0.5416402205678137 IFNa_LPS_Control_1 PTLG027 CD66 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 0.659707528941606 IFNa_LPS_Control_2 PTLG027 CD66 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 0.5062676154960658 Unstim_Control_1 PTLG027 CD66 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_2 0.5933791796321305 Unstim_Control_2 PTLG027 CD66 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_1 1.1226924207276765 IFNa_LPS_Control_1 PTLG028 CD66 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_2 1.2075317317820813 IFNa_LPS_Control_2 PTLG028 CD66 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_1 1.1170746410976942 Unstim_Control_1 PTLG028 CD66 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_2 1.1655456005690137 Unstim_Control_2 PTLG028 CD66 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_1 1.2464033384885813 IFNa_LPS_Control_1 PTLG030 CD66 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_2 1.322321226253349 IFNa_LPS_Control_2 PTLG030 CD66 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_1 1.2284158045504838 Unstim_Control_1 PTLG030 CD66 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_2 1.2934966218871748 Unstim_Control_2 PTLG030 CD66 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_1 1.1220331388778275 IFNa_LPS_Control_1 PTLG031 CD66 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_2 1.2126063000746896 IFNa_LPS_Control_2 PTLG031 CD66 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_1 1.1062953197272423 Unstim_Control_1 PTLG031 CD66 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_2 1.1600848485518815 Unstim_Control_2 PTLG031 CD66 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_1 1.2019481850113083 IFNa_LPS_Control_1 PTLG032 CD66 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_2 1.2756481869634042 IFNa_LPS_Control_2 PTLG032 CD66 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_1 1.1842503593404525 Unstim_Control_1 PTLG032 CD66 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_2 1.2320281532049666 Unstim_Control_2 PTLG032 CD66 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_1 1.2608538591767355 IFNa_LPS_Control_1 PTLG033 CD66 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_2 1.3296176571616136 IFNa_LPS_Control_2 PTLG033 CD66 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_1 1.198827859834351 Unstim_Control_1 PTLG033 CD66 -MFI none 0 #AEAEAE
