batch value control marker flagged_batch batch_effect cols type
PTLG021 0.2680998742580414 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG021 0.2874505817890167 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG021 0.2848496437072754 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG021 0.28674963116645813 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG025 0.33684998750686646 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG025 0.4207000732421875 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG025 0.3460998833179474 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG025 0.32684990763664246 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG026 0.4891500771045685 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG026 0.40779995918273926 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG026 0.4806998074054718 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG026 0.4430501461029053 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG027 0.3972497880458832 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG027 0.40034985542297363 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG027 0.3985499143600464 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG027 0.3982999324798584 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG028 0.3195500075817108 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG028 0.30660054087638855 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG028 0.3040494918823242 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG028 0.27114996314048767 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG030 0.39335161447525024 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG030 0.3449499309062958 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG030 0.3429499864578247 Unstim_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG030 0.3456999659538269 Unstim_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG031 0.32635053992271423 IFNa_LPS_Control_1 CD235ab_CD61 none 0 #AEAEAE EMD
PTLG031 0.32869967818260193 IFNa_LPS_Control_2 CD235ab_CD61 none 0 #AEAEAE EMD
